main_tweet,main_tweet_id,verified,followers,like_count,reply_count,retweet_count,quote_count,replies,label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Can regularly rinsing your nose with saline help prevent infection with the new coronavirus? https://t.co/ccMjhhD7BK,1.25022E+18,FALSE,410,0,1,0,0,"[{""tweet_id"": 1250219116993974272, ""tweet"": ""4. Can eating garlic help prevent infection with the new coronavirus? #COVID19Malaysia https://t.co/q133xXBiwl"", ""created_at"": 1586910440.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250219437027766273, ""tweet"": ""6. Do vaccines against pneumonia protect you against the new coronavirus? https://t.co/wL0mlEqU95"", ""created_at"": 1586910516.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250219620939657216, ""tweet"": ""7. Can spraying alcohol or chlorine all over your body kill the new coronavirus? #Chamber https://t.co/zunVR7Ht0V"", ""created_at"": 1586910560.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250219777185873922, ""tweet"": ""8. How effective are thermal scanners in detecting people infected with the new coronavirus? https://t.co/nyLOyKAb1H"", ""created_at"": 1586910597.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250219894429208577, ""tweet"": ""9. Can an ultraviolet disinfection lamp kill the new coronavirus? https://t.co/ZrlllbkIjm"", ""created_at"": 1586910625.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250219998842216448, ""tweet"": ""10. Are hand dryers effective in killing the new coronavirus? https://t.co/cSDKXO1bGr"", ""created_at"": 1586910650.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250220115762667520, ""tweet"": ""11. The new coronavirus CANNOT be transmitted through mosquito bites. https://t.co/ZRL8bjRkpl"", ""created_at"": 1586910678.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250220272306638848, ""tweet"": ""12. Taking a hot bath does not prevent the new coronavirus disease https://t.co/bICOqSTOuD"", ""created_at"": 1586910715.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250220389323526146, ""tweet"": ""13. Cold weather and snow CANNOT kill the new coronavirus. https://t.co/7yeQQ6gLNo"", ""created_at"": 1586910743.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250220527005753344, ""tweet"": ""14. COVID-19 virus can be transmitted in areas with hot and humid climates https://t.co/ylKa2F40vu"", ""created_at"": 1586910776.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250220791544705025, ""tweet"": ""15. Drinking alcohol does not protect you against COVID-19 and can be dangerous https://t.co/ZrLN61q046"", ""created_at"": 1586910839.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250220987238383616, ""tweet"": ""16. Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease. https://t.co/gPUL51Y2lx"", ""created_at"": 1586910885.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250221140603047937, ""tweet"": ""17. You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life. https://t.co/yrjUM5qniK"", ""created_at"": 1586910922.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250221275827470336, ""tweet"": ""18. Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19) https://t.co/aOQKrrwaBv"", ""created_at"": 1586910954.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250221402822545410, ""tweet"": ""19. 5G mobile networks DO NOT spread COVID-19 https://t.co/VjqelBmpTn"", ""created_at"": 1586910985.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}]",nonrumour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French police chief killed himself after #CharlieHebdo attack http://t.co/KC8nCzimBl http://t.co/EnZQarIezF,5.54887E+17,TRUE,3231220,43,35,184,0,"[{""tweet_id"": 554959644125167617, ""tweet"": ""Devastating. RT \u201c@Telegraph: French police chief killed himself after #CharlieHebdo attack http://t.co/QAWv7u1yUy http://t.co/ihf5hDbdKX\u201d"", ""created_at"": 1421147664.0, ""like_count"": 0, ""reply_count"": 2, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554927149090897920, ""tweet"": ""@Rene_gadeCowboy @Telegraph. Nothing to see here. Move along."", ""created_at"": 1421139917.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554892798869389312, ""tweet"": ""@Telegraph @wmiddelkoop it stinkS !!! These whole affaire!!!"", ""created_at"": 1421131727.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554903624808398850, ""tweet"": ""@Telegraph And tasked with investigating Charlie Hebdo shooting. But 'obviously' just a strange coincidence. Not like he discovered anything"", ""created_at"": 1421134308.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554895301316591616, ""tweet"": ""FWIW, his 2nd in command comitted suicide in 2013, &amp; he found the body. So, there's that. :P @Telegraph @wonderfullone"", ""created_at"": 1421132323.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 1, ""quote_count"": 0}, {""tweet_id"": 554902157942480896, ""tweet"": ""Ohh boy,Here v go Pakistanis already calling it false flag by Eivil Jews\nMT\""@_EretzYisrael:@Telegraph:#CharlieHebdo http://t.co/az5hLEzHON\"""", ""created_at"": 1421133958.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554902638220042240, ""tweet"": ""\u201c@Telegraph: French police chief killed himself after #CharlieHebdo attack http://t.co/z6XSVtxLGG http://t.co/TttVOK3P8T\u201d \ud83d\ude33 wtf?"", ""created_at"": 1421134073.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554915829171515392, ""tweet"": ""@Telegraph Why?"", ""created_at"": 1421137218.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554965654437384192, ""tweet"": ""@Telegraph @HenryMakow Yeh sure he did..."", ""created_at"": 1421149097.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554898706680778753, ""tweet"": ""@Telegraph @Commuter_Rants why are you reporting this three days after it happened?"", ""created_at"": 1421133135.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554896019419574273, ""tweet"": ""@Telegraph,only those cartoonistS are responsible, those were sent to hell,by humiliating norms of Islam and blasphemy of PBUH OF ISLAM."", ""created_at"": 1421132495.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554893579957460992, ""tweet"": ""@Telegraph @billpostmus so horrible."", ""created_at"": 1421131913.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554899738575642624, ""tweet"": ""@Telegraph @farahdeez They killed him how can he kill himself? was shot in the forehead! so taht he doesnt get who's behind it"", ""created_at"": 1421133381.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554895363165790209, ""tweet"": ""@Telegraph @DestinyandBruce WHAT YA WANNA BET HE WAS KILLED??????????"", ""created_at"": 1421132338.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554900417071833088, ""tweet"": ""@Telegraph @Rene_gadeCowboy took it kinda personal I guess, sad"", ""created_at"": 1421133543.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554907945377726464, ""tweet"": ""@Telegraph @TelegraphNews Don't worry...it's all another weird coincidence. No conspiracy here."", ""created_at"": 1421135338.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554893028394278912, ""tweet"": ""@Telegraph @TelegraphNews such a sad loss \ud83d\ude14may he now RIP"", ""created_at"": 1421131782.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554887349180833793, ""tweet"": ""@Telegraph How very sad."", ""created_at"": 1421130428.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554890068603969536, ""tweet"": ""@Telegraph @TelegraphNews The trauma he must have faced. Very sad."", ""created_at"": 1421131076.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554892765255847936, ""tweet"": ""\u201c@Telegraph: French police chief killed himself after #CharlieHebdo attack http://t.co/DJAyu2GC5C http://t.co/8X6V2RX2kc\u201d #RIP. Terrible!"", ""created_at"": 1421131719.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554961344676392960, ""tweet"": ""@janecat60 oh no... @Telegraph"", ""created_at"": 1421148069.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554919484473880576, ""tweet"": ""@Telegraph we will be very satisfied if #NawazSharif resigns. Here they hide the reports which blames them."", ""created_at"": 1421138089.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 554908645163421696, ""tweet"": ""@Telegraph horrible!!! Needless. Did Dubya kill himself after 9/11 or just go brain-dead..."", ""created_at"": 1421135505.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}]",rumour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coronavirus disease (COVID-19) advice for the public:

✳️ Should I wear a mask to protect myself?

✳️ How to put on, use, take off and dispose of a mask?

✳️ When and how to use masks?

https://t.co/hYwVDOX3mn https://t.co/aj1CKwbKkE",1.2379E+18,FALSE,614,4,1,1,1,"[{""tweet_id"": 1237901311439450112, ""tweet"": ""Infection control for suspected or confirmed COVID-19 cases \n\n\u2733\ufe0f WHO recommendations:\n\nhttps://t.co/ScAizY5HOZ\n\n\u2733\ufe0f CDC recommendations\n\nhttps://t.co/2xnkweKw2q"", ""created_at"": 1583973646.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1239862502516760577, ""tweet"": ""\ud83d\udd18 personal protective equipment (PPE)\n\nhttps://t.co/kGEsQpBpAi\n\n\ud83d\udd18 N95 Respirators and Surgical Masks (Face Masks)\n\nhttps://t.co/t2ambIeotz\n\n\ud83d\udd18 Surgical Mask vs N95 Respirator\n\nhttps://t.co/vVEPxdN1uw https://t.co/WY3jaTmzDA"", ""created_at"": 1584441230.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}]",nonrumour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ottawa police confirm that there were multiple suspects in the shooting, saying there were ""possibly 3"" shooters. http://t.co/In9OgOxYXM",5.24958E+17,TRUE,19806342,23,5,121,0,"[{""tweet_id"": 524961934064754688, ""tweet"": ""@WSJ @HeyTammyBruce I hope this isn't just a prelude to a bigger attack."", ""created_at"": 1413995653.0, ""like_count"": 1, ""reply_count"": 1, ""retweet_count"": 1, ""quote_count"": 0}, {""tweet_id"": 524959028061798401, ""tweet"": ""@WSJ Killers go berserk when cornered.  Henceforth, no lapses in security should be there."", ""created_at"": 1413994960.0, ""like_count"": 1, ""reply_count"": 1, ""retweet_count"": 1, ""quote_count"": 0}, {""tweet_id"": 524959339745140736, ""tweet"": ""@45_nabeel hahaha, you said far more than you think"", ""created_at"": 1413995034.0, ""like_count"": 1, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 524959070407503873, ""tweet"": ""@WSJ @macdonaldajm terrorists in ottawa"", ""created_at"": 1413994970.0, ""like_count"": 1, ""reply_count"": 2, ""retweet_count"": 1, ""quote_count"": 0}, {""tweet_id"": 525016147448836096, ""tweet"": ""@WSJ when Canadians of all people start shooting, well, \""c'est la fin du monde, non?\"""", ""created_at"": 1414008578.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}]",nonrumour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"if the primary focus of a government isn't to alleviate suffering/death and promote happiness/wellbeing for its citizens, why do we need it to begin with?",1.2393E+18,FALSE,4886,6,0,1,0,[],nonrumour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Are hand dryers effective in killing the new coronavirus? https://t.co/cSDKXO1bGr,1.25022E+18,FALSE,410,0,1,0,0,"[{""tweet_id"": 1250220791544705025, ""tweet"": ""15. Drinking alcohol does not protect you against COVID-19 and can be dangerous https://t.co/ZrLN61q046"", ""created_at"": 1586910839.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250220987238383616, ""tweet"": ""16. Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease. https://t.co/gPUL51Y2lx"", ""created_at"": 1586910885.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250221140603047937, ""tweet"": ""17. You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life. https://t.co/yrjUM5qniK"", ""created_at"": 1586910922.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250221275827470336, ""tweet"": ""18. Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19) https://t.co/aOQKrrwaBv"", ""created_at"": 1586910954.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1250221402822545410, ""tweet"": ""19. 5G mobile networks DO NOT spread COVID-19 https://t.co/VjqelBmpTn"", ""created_at"": 1586910985.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}]",nonrumour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Does the new coronavirus affect older people, or are younger people also susceptible? #Covid_19 #health https://t.co/Kg0Qb5oMs8",1.24105E+18,FALSE,2671,0,1,0,0,"[{""tweet_id"": 1241047449348632577, ""tweet"": ""Do vaccines against pneumonia protect you against the new coronavirus? #Covid_19 #Corona \nhttps://t.co/p32DVhtTz8 https://t.co/wfUD9kymwP"", ""created_at"": 1584723744.0, ""like_count"": 0, ""reply_count"": 1, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 1241256462308933632, ""tweet"": ""Are there any specific medicines to prevent or treat the new coronavirus? #Covid_19 #coronavirus https://t.co/U1J90AkZdm"", ""created_at"": 1584773576.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}]",nonrumour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@WHOPhilippines @WHO_Mongolia @takeshi_kasai @DOHgov @KKMPutrajaya @KoreaCDC @WHOKobe @AMRCRC_JAPAN @MHLWitter @jameschau @minhealthnz @MoHFW_INDIA @minhealthci @sporeMOH @loyingru @SonjaTanevska @DrRasul_WHO @WHO @healthgovau @fijiconsulate @Fiji_MOFA Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)?
A: No, antibiotics do not work against viruses, only bacteria.
The 2019-nC0V is a virus and, therefore, antibiotics should  not be used as a means of prevention or treatment. https://t.co/UAd9CFDHyq",1.22183E+18,TRUE,237661,448,2,302,22,"[{""tweet_id"": 1221831180657614850, ""tweet"": ""@WHOWPRO @WHOPhilippines @WHO_Mongolia @takeshi_kasai @DOHgov @KKMPutrajaya @KoreaCDC @WHOKobe @AMRCRC_JAPAN @MHLWitter @jameschau @minhealthnz @MoHFW_INDIA @minhealthci @sporeMOH @loyingru @SonjaTanevska @DrRasul_WHO @WHO @healthgovau @fijiconsulate @Fiji_MOFA Q: Chinese doctors said, we will use HIV drug to treat this virus firstly ! does this useful ? or just trial and error in Chinese treatment methodology ?\nhttps://t.co/Qy43gnNFgi"", ""created_at"": 1580142228.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}]",nonrumour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A memorial for #MH17 victims forms near the Netherlands embassy in Kiev: http://t.co/U83G4R5YIp (Roman Pilipey/EPA) http://t.co/3s7t2q4sv2,4.89975E+17,TRUE,4688695,73,8,155,0,"[{""tweet_id"": 489979794834984960, ""tweet"": ""@msnbc RIP"", ""created_at"": 1405655261.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 489976165600202752, ""tweet"": ""@msnbc Putin thinks he was the target, and the Ukies shot down the wrong plane. #MSNBC @GEpublicaffairs @GE #GE $GE"", ""created_at"": 1405654395.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 490010211047182336, ""tweet"": ""@gs_stark \u041f\u0443\u0442\u0438\u043d \u0443\u0431\u044b\u043b \u0435\u0451 \u043c\u043e\u0437\u0433?"", ""created_at"": 1405662512.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 490120860376645633, ""tweet"": ""@msnbc @texyellowdogdem U folks didn't deserve this level of tragedy.I'd like 2 offer my condolences to families of the victims"", ""created_at"": 1405688893.0, ""like_count"": 1, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 490042537038462976, ""tweet"": ""@msnbc really sad tragic loss"", ""created_at"": 1405670220.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}]",rumour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prime Minister Tony Abbott's statement on the #SydneySiege. Updates: http://t.co/EgWHAnjO35 http://t.co/AGhyN5Qkei,5.4429E+17,TRUE,795799,49,4,138,0,"[{""tweet_id"": 544322700726906880, ""tweet"": ""@australian Prime ministers should not have to comment on everything."", ""created_at"": 1418611619.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 544291376968790016, ""tweet"": ""@australian @JRCarrollCJ"", ""created_at"": 1418604151.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}, {""tweet_id"": 544403327459790848, ""tweet"": ""\u201c@australian: Prime Minister Tony Abbott's statement on the #SydneySiege. Updates: http://t.co/JdOuBIWgOy http://t.co/7PNaXrDndK\u201d"", ""created_at"": 1418630842.0, ""like_count"": 0, ""reply_count"": 0, ""retweet_count"": 0, ""quote_count"": 0}]",nonrumour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
